marketCard_symbol,marketCard_stockPosition,marketCard_changePct
STOXX600,607.06,-1.19
DAX,24959.06,-1.34
FTSE,10195.35,-0.39
CAC,8112.02,-1.78
FTSE MIB,45195.89,-1.32
